No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,49,10.1432,335.746,1.99244,1.78415,640.702,185.312,3.06533,-10.8545,14265.6,271.189,1,1,2,2,3,0
1,50,9.53805,336.103,1.14171,1.44015,758,190.79,17.5005,3.49582,7830.77,246.089,1,1,2,3,4,0
1,51,9.96406,336.37,1.35389,1.60152,707.453,228.855,22.4302,9.67806,8913.07,284.183,1,2,2,4,5,0
1,52,9.7178,338.224,2.3959,3.88688,539.73,195.868,15.7502,-14.5673,31922.4,415.781,1,2,3,4,5,0
1,53,10.2471,336.923,1.59786,2.79535,612.078,229.612,21.9077,-14.4788,18589.2,348.278,1,2,3,4,5,0
1,54,9.82869,335.808,1.36977,1.87019,510.324,259.904,33.8154,-23.7256,8224.05,309.237,1,2,3,4,5,0
1,55,13.0134,335.499,3.81006,1.64313,493.066,322.887,1.95434,5.3604,17799.5,420.101,1,2,3,4,5,0
1,56,10.0593,335.274,2.78438,1.59605,545.152,188.667,13.9978,-11.0109,14771.3,305.314,1,1,1,2,3,0
1,57,10.3311,335.946,1.78408,1.7379,853.012,175.788,15.2007,-8.34707,16596.7,284.627,1,1,1,2,2,0
1,58,9.74233,335.95,2.0407,1.7745,392.815,203.008,14.0349,-25.9634,7623.01,255.876,1,1,1,2,2,0
1,59,9.30022,335.628,1.95694,1.55389,565.851,157.122,1.30031,-18.6855,10805,226.343,1,1,1,2,2,0
1,60,9.83689,335.665,2.17119,1.76265,611.175,179.628,-17.3171,-10.6567,15089.2,274.408,1,1,1,2,2,0
1,61,10.0716,336.002,2.03463,1.93859,517.926,110.932,-10.0724,-11.055,12776,178.586,1,1,1,2,2,0
1,62,9.94113,335.478,1.7635,2.1564,609.965,95.0134,2.48793,-8.46054,14477.2,188.349,1,1,1,2,2,0
1,63,9.63122,335.218,1.68122,1.99053,559.766,189.616,-0.757847,-13.697,11925.6,262.231,1,1,1,1,1,0
1,64,9.68951,335.51,1.644,1.67815,719.766,130.427,7.63416,-15.8646,11981.9,202.107,1,1,1,2,2,0
1,65,9.52453,334.863,1.6844,2.79082,557.454,156.977,8.29722,-25.4684,14871.3,286.16,,,,,,0
2,1,13.9592,106.889,1.73694,2.13528,707.659,505.851,18.4874,-1.81265,14740.7,589.763,1,2,3,4,5,0
2,2,13.1395,104.915,1.91705,2.43406,976.277,275.945,9.17262,-3.51855,26958.5,425.686,1,2,3,4,5,0
2,3,12.4545,106.651,3.94335,3.05595,685.878,224.429,20.6294,0.619433,43441.4,496.905,1,2,3,4,5,0
2,4,7.78666,105.294,3.71856,2.50185,973.971,199.548,-22.3961,-13.4583,49837.7,509.29,1,2,3,4,5,0
2,5,6.6704,105.397,3.11279,2.25679,849.015,215.195,-20.7794,-10.4054,36149.9,442.642,1,2,3,4,5,0
2,6,5.55413,105.5,2.50702,2.01174,724.058,230.842,-19.1627,-7.35245,22462,375.994,1,2,3,4,5,0
2,7,6.05822,105.656,2.85521,1.97957,589.551,201.8,6.31543,2.79035,21674.7,332.154,1,2,3,4,5,0
2,8,6.72706,99.1321,1.64418,3.77256,349.824,273.84,-15.8897,14.4476,13203.4,375.763,1,2,3,4,5,0
2,9,9.73978,106.449,2.98146,3.01107,879.957,145.225,6.48544,19.6145,49113.7,452.994,1,2,3,4,5,0
2,10,13.7883,107.693,2.1869,1.89844,1221.37,263.962,-11.6804,-2.63339,31622.8,447.183,1,2,3,4,5,0
2,11,11.3561,106.548,2.20968,3.69892,822.956,245.974,5.49168,10.9165,37599.1,484.118,1,2,3,4,5,0
2,12,11.7609,102.66,2.63052,2.98948,857.846,291.516,-10.3085,8.33993,40923.8,536.74,1,2,3,4,5,0
2,13,10.8832,101.426,2.02993,2.48722,1021.23,235.175,-3.5644,5.77662,36196,471.379,1,2,3,4,5,0
