No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
3,13,33.2864,288.872,2.59784,2.6972,2527.27,166.933,-3.15462,8.00176,106169,816.533,1,1,1,1,1,0
3,14,33.5161,288.842,2.83533,3.31747,2032.24,138.049,-11.2389,-2.54459,107703,812.201,1,1,2,3,1,0
3,15,33.3331,288.56,2.96626,4.18045,1629.16,318.452,-15.1302,19.1055,103005,972.183,1,2,2,3,4,0
3,16,32.9282,286.79,2.15223,3.66349,1478.69,600.412,-18.1836,57.3602,65541.3,985.142,1,2,2,3,4,0
3,17,33.1055,286.109,2.71021,3.90937,1446.39,416.203,-49.1933,71.1728,84434.4,949.118,1,2,2,3,4,0
3,18,33.8955,285.718,2.98636,3.64955,1705.97,232.99,-78.4454,81.2088,106750,942.645,1,2,2,3,4,0
3,19,33.2779,286.867,2.64209,4.1283,1470.84,498.496,-45.8213,17.7362,79696.4,977.479,1,2,2,3,4,0
3,20,32.7491,287.609,2.82052,3.75473,1667.14,484.994,-17.204,8.01858,94745.9,1072.84,1,2,2,3,4,0
3,21,32.2203,288.351,2.99895,3.38117,1863.45,471.491,11.4132,-1.69906,109795,1168.2,1,2,3,4,5,0
3,22,33.3661,287.131,2.33759,1.72916,1071.48,959.312,-77.3283,36.499,21455.9,1084.26,1,2,3,4,5,0
3,23,31.7313,289.136,2.46018,2.90384,1290.78,712.325,-11.4953,17.4189,52850.5,1038.86,1,2,3,4,5,0
3,24,30.0965,291.142,2.58277,4.07852,1510.08,465.338,54.3376,-1.66124,84245.1,993.467,1,2,3,4,5,0
3,25,27.5184,292.85,1.64396,1.32952,716.834,714.112,69.5528,-2.76624,6101.61,760.828,1,2,3,4,5,0
3,26,27.1133,293.618,1.73648,1.29276,736.521,692.877,56.3041,3.58554,10384.2,771.716,,,,,,0
4,1,32.7747,309.487,2.47078,1.79425,575.18,171.968,8.8728,-2.13187,15766.2,255.58,1,2,3,4,5,0
4,2,34.4867,310.521,1.61521,2.41066,574.195,195.071,24.985,-18.6251,13887.7,280.219,1,2,3,4,5,0
4,3,36.6578,306.216,1.84849,1.39964,734.114,379.808,45.2966,3.35384,11918.9,450.657,1,2,3,4,5,0
4,4,35.9254,306.699,2.71835,0.907726,658.815,486.98,87.1009,-31.873,11779.2,535.775,1,2,3,4,5,0
4,5,35.7988,306.392,3.03887,1.60802,605.488,506.595,49.3265,-23.114,17702.1,596.219,1,2,3,4,5,0
4,6,30.3299,303.808,3.16157,2.75658,660.289,255.414,39.1532,7.25634,39482.9,533.272,1,2,3,4,5,0
4,7,26.0216,306.864,1.62229,1.43013,510.048,182.51,11.4209,-20.984,7450.07,250.071,1,2,3,4,5,0
4,8,24.2605,306.109,1.56502,1.82331,610.901,152.831,-3.16576,-18.2653,10942.4,214.302,1,2,3,4,5,0
4,9,22.2419,306.262,2.42063,1.97744,728.484,121.439,-5.66507,-16.2823,20984.1,246.343,1,2,3,4,5,0
4,10,19.9132,305.694,2.32421,1.59009,605.265,205.69,0.283668,-35.2145,13409.7,308.118,1,2,3,4,5,0
4,11,20.7984,304.481,2.14524,2.14763,691.792,201.345,-3.08573,-39.6045,19541.1,330.467,1,2,3,4,5,0
4,12,21.6835,303.268,1.96628,2.70517,778.318,196.999,-6.45513,-43.9946,25672.4,352.817,1,2,3,4,5,0
4,13,22.4748,304.205,1.68869,1.9019,1057.63,167.83,-3.56178,-20.6603,19708.5,284.669,1,2,3,4,5,0
4,14,23.3317,305.786,1.96716,2.10358,605.351,115.771,-2.41312,-14.8722,15636.6,217.402,1,2,3,4,5,0
4,15,23.1579,305.451,1.87543,1.99588,400.159,163.131,-3.00107,-21.0298,9423.83,219.373,1,2,3,4,5,0
4,16,20.5425,302.159,1.83311,3.14532,856.214,254.959,-8.58578,-37.9421,32989.7,438.024,1,2,3,3,4,0
4,17,20.7929,301.691,2.01881,3.01276,1009.9,225.711,-5.04007,-38.4758,38117.2,492.497,1,2,2,3,4,0
4,18,21.9831,301.899,1.97036,2.74433,906.58,238.342,-1.24492,-39.2737,31812.3,465.811,1,2,2,3,4,0
4,19,22.0037,303.067,1.88219,2.13128,928.64,203.034,-1.92661,-30.2725,24035.4,361.151,1,2,2,3,4,0
4,20,22.0243,304.235,1.79402,1.51822,950.7,167.727,-2.6083,-21.2713,16258.5,256.491,1,2,3,3,4,0
4,21,23.4645,304.552,1.71437,1.50034,762.797,158.007,-1.47339,-23.9007,10648.7,236.101,1,2,3,3,4,0
4,22,24.685,305.114,1.91699,1.8678,594.31,129.074,6.95771,-16.9435,13330.9,208.84,1,2,3,3,4,0
4,23,25.8767,305.658,2.1573,2.22735,527.436,151.974,16.8342,-28.2942,16494.2,254.899,1,2,3,3,4,0
4,24,24.5726,305.982,1.86388,1.76555,663.021,151.768,19.7424,-26.5005,13450.7,238.243,1,2,3,3,4,0
4,25,23.2685,306.307,1.57047,1.30375,798.605,151.563,22.6506,-24.7069,10407.2,221.586,,,,,,0
5,1,46.2046,311.5,1.82091,2.1466,2115.97,865.387,118.473,-110.445,51658.1,1179.8,1,2,3,4,5,0
5,2,48.8452,308.33,3.65512,3.98657,1971.44,640.83,-7.32763,-24.302,139274,1462.39,1,2,3,4,5,0
5,3,46.63,310.228,1.98311,2.41474,2385.63,782.561,36.5965,-77.8571,70182.9,1174.43,1,1,2,3,1,0
5,4,46.5775,310.701,2.03074,2.19456,2190.5,751.201,3.04181,-81.7639,61188.7,1137.37,1,1,2,3,4,0
5,5,46.6228,310.68,2.29453,2.26039,2156.87,672.879,12.8039,-62.9883,69080.1,1100.51,1,2,2,3,4,0
5,6,47.6063,309.545,2.71095,2.60224,1495.24,700.376,-16.0238,-28.1756,63009.7,1078.17,1,2,2,3,4,0
5,7,48.2154,309.165,3.29791,2.23526,1255.03,656.693,-6.9854,1.69939,58277.8,996.118,1,2,2,3,4,0
5,8,49.0887,309.184,3.34189,1.97729,1283.82,598.356,-13.4219,34.4109,50124.3,891.899,1,2,2,3,4,0
5,9,48.5799,309.572,3.87507,2.58764,1488.76,290.179,-32.4951,-2.12493,89314,857.012,1,2,2,3,4,0
5,10,46.9451,310.241,3.76779,2.57102,1705.84,539.502,-28.9193,-46.5011,90591.2,1083.54,1,2,2,3,4,0
5,11,46.9833,310.561,3.37002,2.71287,2108.03,363.51,-64.5935,-85.3609,123496,1130.13,1,2,2,3,4,0
5,12,46.3599,310.592,3.00593,2.65543,2287.03,511.504,4.88665,-68.1559,107493,1161.17,1,2,2,3,4,0
5,13,48.1142,310.274,3.23569,2.31212,1645.77,570.173,-48.3851,-12.5833,70189.1,968.888,1,2,2,3,4,0
5,14,49.081,309.907,3.64773,2.30127,1492.76,470.78,-73.5714,12.3432,72401.7,893.367,1,2,3,3,4,0
5,15,48.4161,310.166,4.07682,2.46097,1258.4,562.875,-75.1723,0.969263,67076,967.166,1,2,3,4,5,0
5,16,45.3254,311.975,2.53232,3.21578,1295.17,576.672,2.74913,-68.2913,58633.2,943.432,1,2,3,4,5,0
5,17,43.8644,311.355,3.33154,3.84931,1463.11,261.07,16.2476,-7.34787,109171,945.698,1,2,3,4,5,0
5,18,43.0829,310.774,3.91119,4.13499,1497.91,267.013,26.0279,3.73506,115641,1029.2,1,2,3,4,5,0
