No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
2,25,23.6686,283.715,2.05158,2.19849,1087.22,109.346,-2.61588,0.272509,29845.9,287.491,1,1,1,1,1,0
2,26,23.5125,284.04,2.06819,2.16252,942.369,128.525,-3.71839,-4.26662,25897,279.657,1,1,1,1,1,0
2,27,23.4493,284.083,2.1294,2.16902,944.984,116.004,-0.599359,-2.32179,27131.8,271.266,1,1,1,1,1,0
2,28,23.4494,284.153,2.05818,2.08984,1521.76,134.655,-7.70391,-1.04422,39676.1,362.586,1,1,1,1,1,0
2,29,23.5013,284.109,2.02445,2.20521,1413.21,141.011,-7.06777,-6.18765,38456.1,360.402,1,1,1,1,1,0
2,30,23.3724,284.107,2.36272,2.26451,1336.56,123.297,-4.95264,-7.78671,44076.6,383.237,1,1,1,1,1,0
2,31,23.3707,284.017,2.28089,2.16653,1366.73,136.089,-0.491536,-3.24518,41458.9,380.905,1,1,1,1,1,0
2,32,23.3711,284.008,2.08677,2.16915,1452.14,114.082,-0.327141,-3.10139,40908.1,355.68,1,1,1,1,1,0
2,33,23.5641,284.032,1.85188,2.23212,1356.1,129.289,-2.77626,-2.00145,34935.6,327.586,1,1,1,1,1,0
2,34,23.5913,284.299,1.94155,1.96735,1193.06,128.878,-1.49839,-4.72871,28687.4,291.396,1,1,1,1,1,0
2,35,23.5721,284.229,2.03729,1.86132,1220.17,146.28,-0.193622,-1.19858,28493.1,307.68,1,1,1,1,1,0
2,36,23.7366,284.462,2.04095,2.21708,1172.35,117.596,-3.29056,-8.259,32276.1,309.58,1,1,1,1,1,0
2,37,23.6179,284.616,2.01532,1.92994,1220.49,144.484,-5.12717,-9.22873,30502.6,325.367,1,1,1,1,1,0
2,38,23.4655,284.118,1.83125,1.89358,1579.8,162.351,-3.58201,-4.75229,34328.6,360.213,1,1,1,1,1,0
2,39,23.478,284.128,1.93797,1.9998,1526.98,134.223,-4.25102,-2.69206,37003.7,348.533,1,1,1,1,1,0
2,40,23.5251,284.089,1.99157,2.11473,1384.43,139.352,-3.1486,-1.16949,36122.6,347.811,1,1,1,1,1,0
2,41,23.5989,283.961,2.05616,2.02447,1317.64,151.834,-0.0167292,0.504325,33516,349.195,1,1,1,1,1,0
2,42,23.5499,283.919,2.15792,2.14105,1383.84,116.383,-3.33648,-2.3226,38934.1,353.207,1,1,1,1,1,0
2,43,23.6895,284.011,2.05817,2.16443,1471.88,112.487,-6.7457,-3.29488,40838.1,356.479,1,1,1,1,1,0
2,44,23.6589,284.264,2.10258,2.00875,1312.98,123.555,-6.58812,-1.2127,34508.6,326.385,1,1,1,1,1,0
2,45,23.5177,284.291,2.04878,2.13846,1206.44,125.416,0.0406124,1.97035,32423,313.391,1,1,1,1,1,0
2,46,23.4569,284.107,2.15255,2.0371,1311.24,120.69,-1.01255,0.787214,35806.1,327.521,1,1,1,1,1,0
2,47,23.439,284.158,2.1665,2.08682,1578.89,100.934,-4.59776,-4.13113,44405.8,367.645,1,1,1,1,1,0
2,48,23.3662,284.192,2.1135,2.27732,1559.79,88.8864,-4.98038,-4.81022,46630.1,366.781,1,1,1,1,1,0
2,49,23.4447,284.315,2.13289,2.35772,1304,86.0629,-5.28942,-4.70888,40648.6,329.544,1,1,1,1,1,0
2,50,23.4921,284,2.10768,2.13993,1242.65,108.361,-4.81019,-3.78658,34872,311.467,1,1,1,1,1,0
2,51,23.5814,284.102,1.9057,2.02507,1468.51,117.518,-6.31826,-7.34109,35262.6,324.32,1,1,1,1,1,0
2,52,23.3906,284.088,1.90938,1.93529,1517.95,145.332,-3.66056,-3.93616,35117.4,346.805,1,1,1,1,1,0
2,53,23.4972,284.046,1.94707,2.0949,1494.23,115.207,-0.804276,-3.53682,38052.1,337.781,1,1,1,1,1,0
2,54,23.5632,284.117,1.94314,2.27056,1433.42,103.039,-1.50555,-4.65704,39077.4,331.112,1,1,1,1,1,0
2,55,23.3598,284.177,2.11816,2.25454,1450.79,93.5858,-4.04775,-2.33209,42997.6,346.811,1,1,1,1,1,0
2,56,23.3737,283.938,2.0721,2.0913,1465.01,113.124,-4.92533,-1.57705,39578.1,346.74,1,1,1,1,1,0
2,57,23.4248,283.836,1.91955,1.99551,1506.15,147.021,-6.18941,2.42837,34401.9,349.041,1,1,1,1,1,0
2,58,23.3524,284.204,2.23668,2.19422,1351.2,87.0359,-3.10276,-6.21873,42121.3,337.562,1,1,1,1,1,0
2,59,23.3784,284.244,2.06121,2.08674,1452.25,87.9752,-1.76059,-4.77253,38943.2,319.438,1,1,1,1,1,0
2,60,23.3625,284.248,2.15282,2.09295,1510.88,91.3147,-3.34408,-7.56148,42363.9,343.325,1,1,1,1,1,0
2,61,23.3403,284.2,2.00809,2.0976,1470.82,117.01,-2.24978,-9.96801,38655.8,342.385,1,1,1,1,1,0
2,62,23.4503,284.272,2.0458,2.1697,1500.8,112.592,-9.55461,-6.60123,42153,359.592,1,1,1,1,1,0
2,63,23.4942,284.199,1.90583,2.10759,1075.17,113.981,0.103359,1.12915,26965.5,269.195,1,1,1,1,1,0
2,64,23.4557,284.273,1.95244,2.15799,1033.36,112.169,1.78577,-1.05967,27142.2,267.456,1,1,1,1,1,0
2,65,23.3303,284.424,2.12279,2.11193,1335.82,109.415,-1.84585,-10.3386,37047.6,325.746,1,1,1,1,1,0
2,66,23.4572,284.076,1.8775,1.96177,1555.93,132.311,-4.02499,-8.46355,35495.6,337,1,1,1,1,1,0
2,67,23.4112,284.182,2.02186,1.88422,1362.54,109.815,-2.64072,-5.51958,32347.5,300.893,1,1,1,1,1,0
2,68,23.4245,284.268,2.39454,2.05284,1204.75,85.0776,-3.75896,-4.02851,37053.3,305.751,1,1,1,1,1,0
2,69,23.66,284.053,2.26523,2.34313,1308.16,77.5533,-11.5576,-3.11739,43121.1,337.527,1,1,1,1,1,0
2,70,23.4735,284.119,2.1579,2.29705,1049.89,81.5087,-3.23069,-3.5838,32373.3,273.574,1,1,1,1,1,0
2,71,23.2992,284.235,2.05427,2.3159,988.373,88.0038,-0.815704,-1.68311,29164.4,259.592,1,1,1,1,1,0
2,72,23.4473,284.314,2.18202,2.41198,1186.14,90.9198,-7.37681,-6.73013,37904.3,318.432,1,1,1,1,1,0
2,73,23.5362,284.114,1.82628,2.06035,1534.44,145.87,-6.74985,-5.74981,35311.4,351.793,1,1,1,1,1,0
2,74,23.4408,284.024,1.98076,2.15659,1301.74,138.552,-4.1381,-0.568083,34666.9,339.479,1,1,1,1,1,0
2,75,23.4101,284.055,2.1992,2.20942,1268.54,121.833,-0.611407,-0.478826,38226.2,345.805,1,1,1,1,1,0
2,76,23.5543,284.102,2.01786,2.18848,1425.32,115.394,-4.23167,-0.113149,39190.2,349.373,1,1,1,1,1,0
2,77,23.4789,283.908,1.94696,1.94635,1475.92,120.116,-4.07956,-3.03805,34990.4,325.396,1,1,1,1,1,0
2,78,23.3826,284.142,1.96826,2.01142,1428.56,105.534,0.85714,-5.64953,35353.8,311.882,1,1,1,1,1,0
2,79,23.3014,284.34,2.03286,2.01899,1347.48,115.594,-1.93965,-9.42682,34054.5,316.965,1,1,1,1,1,0
2,80,23.4215,284.325,2.03723,2.14851,1225.97,93.1835,-3.12952,-6.39027,33607.5,289.586,1,1,1,1,1,0
2,81,23.8116,284.174,2.69789,2.1982,341.798,66.0069,-4.70079,-1.93094,12334.2,138.284,1,1,1,1,1,0
2,82,23.9634,283.841,1.96795,2.13249,334.408,57.192,0.0146795,-0.851962,8758.82,112.994,1,1,1,1,1,0
2,83,23.7645,284.054,1.8015,2.12392,407.652,51.6305,-1.50929,-0.889514,9749.46,110.024,1,1,1,1,1,0
2,84,23.7702,283.645,1.6174,2.04468,337.675,79.1287,-2.39878,3.50431,5915.71,114.296,1,1,1,1,1,0
2,85,23.4274,283.811,1.6602,1.96041,383.804,70.9013,0.731925,1.05747,7829.5,117.822,1,1,1,1,1,0
2,86,23.2975,283.953,1.83359,1.94103,388.651,76.5748,1.77889,-1.01719,8856.35,126.959,1,1,1,1,1,0
2,87,23.7886,283.977,2.14143,1.90341,427.346,57.4782,0.126637,-2.58793,11017.8,125.207,1,1,1,1,1,0
2,88,23.5208,283.973,2.02297,1.99573,401.468,79.6639,2.43824,-3.72309,9049.71,133.781,1,1,1,1,1,0
2,89,23.3132,283.603,1.94667,2.06254,403.422,75.1306,0.594735,1.00175,9469.77,129.893,1,1,1,1,1,0
2,90,23.7292,283.551,1.99382,2.02209,453.355,66.4813,-0.595364,-0.308943,11093.9,134.024,1,1,1,1,1,0
2,91,23.7049,283.8,1.75858,1.92238,479.707,81.8957,-3.37522,0.752782,10165.7,140.059,1,1,1,1,1,0
2,92,23.4511,284.337,2.07614,1.676,331.647,66.6486,-2.53948,-0.347598,7216.79,109.562,1,1,1,1,1,0
2,93,23.2908,284.626,2.32461,1.80884,324.173,63.8405,-0.719117,-1.35688,8471.86,112.183,1,1,1,1,1,0
2,94,23.6571,284.437,2.0517,2.37458,418.875,46.9102,-1.29495,-3.84936,12550.9,124.154,1,1,1,1,1,0
2,95,23.9573,284.375,1.78807,2.18575,443.72,57.7639,-1.68747,0.15464,10819.7,122.118,1,1,1,1,1,0
2,96,23.7789,284.406,1.9651,2.11574,387.129,54.6118,-0.170884,-0.476519,10041.5,113.71,1,1,1,1,1,0
2,97,23.5784,284.188,2.01827,2.1329,354.992,71.259,-3.05629,1.81675,9525.49,126.438,1,1,1,1,1,0
2,98,23.6742,284.139,1.88079,1.9646,400.034,66.9507,-2.51329,-0.175065,9254.5,122.533,1,1,1,1,1,0
2,99,23.8513,284.292,1.92458,2.25813,426.589,62.7119,-3.86555,-1.34938,11635.5,130.734,1,1,1,1,1,0
2,100,23.8994,284.35,1.71071,2.23415,430.989,62.3732,-3.31493,-3.25103,10537.4,125.633,1,1,1,1,1,0
2,101,23.6025,284.08,2.11875,2.60398,382.609,47.4956,0.234228,-3.22557,12927.2,127.71,,,,,,0
3,1,32.2102,272.393,2.18351,1.9845,480.432,132.292,-0.815901,-1.8379,12969.2,205.349,1,2,3,4,5,0
3,2,34.7122,269.078,2.38015,2.55143,408.922,95.5688,-6.52949,-1.13216,15143,184.74,1,2,3,4,5,0
3,3,33.3245,269.796,2.56117,1.46481,487.704,110.301,0.957384,2.8935,11273.5,178.704,1,2,3,4,5,0
3,4,32.8187,270.898,2.53284,2.3549,597.201,72.8439,-3.07442,3.41495,21764.6,204.976,1,2,3,4,5,0
3,5,34.1213,269.888,2.5716,3.05086,464.114,61.7913,-7.56181,8.65182,21359.8,194.485,1,2,3,4,5,0
3,6,35.5032,267.483,2.01463,2.13692,451.917,97.0172,-3.20281,-2.91653,11269.8,164.651,1,2,3,4,5,0
3,7,35.3091,267.69,2.1238,1.51323,580.149,96.8127,1.93573,-5.30283,11658.1,162.012,1,2,3,4,5,0
3,8,34.7021,269.261,2.185,2.88665,495.932,56.3967,-0.480423,-2.12651,18802.5,173.598,1,2,3,4,5,0
3,9,33.2146,271.644,2.17525,2.2034,489.634,111.478,-7.86966,-1.25286,14564.2,201.107,1,2,3,4,5,0
3,10,32.1547,272.437,2.66455,2.46841,658.534,69.6064,-10.8785,5.59619,27429.7,236.42,1,2,3,4,5,0
3,11,31.8082,273.338,2.29778,2.06962,657.221,120.103,-12.3362,6.15891,19391.3,232.71,1,2,3,4,5,0
3,12,31.0937,274.324,2.29258,2.38364,731.572,120.791,-11.9301,3.16416,24274.9,263.343,1,2,3,4,5,0
3,13,32.0087,272.243,2.29821,2.30024,540.419,76.3471,-5.42704,3.53336,17638.7,181.976,1,2,3,4,5,0
3,14,33.1635,270.443,2.12431,2.03253,586.523,81.7505,-6.5451,3.95264,15784.1,174.716,1,2,3,4,5,0
3,15,33.9866,269.176,2.03199,2.19751,697.686,77.4827,-8.17222,2.26418,19400.6,193.373,1,2,3,4,5,0
3,16,33.9369,269.494,2.14209,2.08237,774.789,70.7791,-3.935,-2.22359,22149.3,201.592,1,2,3,4,5,0
3,17,35.7872,268.189,2.15126,2.08071,414.824,103.101,-3.6563,-0.574643,11563.8,172.314,1,2,2,3,4,0
3,18,36.1275,267.461,1.92805,2.2351,523.291,93.8701,-3.06833,0.217172,14031.8,175.101,1,2,2,3,4,0
3,19,35.7407,267.227,2.16289,1.96197,547.386,103.32,-4.19989,-5.44603,14484.5,183.479,1,2,2,3,4,0
3,20,35.7045,265.977,2.26073,2.09061,840.655,99.4064,-5.69509,-4.64031,24671.9,246.929,1,2,2,3,4,0
3,21,35.4624,266.4,2.23788,2.23828,692.374,97.9403,-7.53439,-0.820505,21459.7,225.343,1,2,2,3,4,0
3,22,34.8596,267.44,2.1115,2.40772,712.079,69.4207,-2.41452,-5.72698,22143.4,202.876,1,1,2,3,4,0
3,23,35.412,267.034,2.14592,2.50562,704.694,68.4384,-3.52458,-4.71055,23886.9,207.645,1,1,2,3,4,0
3,24,35.7267,267.154,2.05211,2.30505,769.402,87.9709,-3.38763,-6.63929,22304.4,218.621,1,1,2,3,3,0
3,25,35.5909,266.773,2.16838,2.05992,704.894,81.928,-3.34107,-2.37368,19594.7,201.97,1,1,2,3,4,0
3,26,35.9258,266,2.03258,2.12249,765.457,87.4055,-3.45477,-1.0618,20599.4,206.189,1,1,2,3,4,0
3,27,35.8084,266.37,1.91646,2.20597,608.396,98.0594,-1.86505,3.15501,15049.9,186.018,1,1,2,3,4,0
3,28,35.9111,267.1,2.02359,2.09597,536.391,78.0952,-3.29313,-0.158449,14837.2,165.284,1,2,3,4,5,0
