No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
2,27,44.0924,490.75,2.43916,2.53336,922.455,222.575,-31.2907,22.9642,34718.4,423.154,1,1,2,2,3,0
2,28,44.2005,490.799,2.57708,2.61994,897.238,188.588,-30.0401,23.1521,36524,401.716,1,1,2,2,3,0
2,29,43.799,491.605,2.65173,2.68501,1054.6,177.862,-23.7519,11.8606,44876.7,442.272,1,1,2,2,3,0
2,30,44.3921,491.619,2.0212,1.65189,1121.08,278.165,-10.4323,-9.47699,22938.2,390.71,1,1,2,2,3,0
2,31,44.2058,490.758,2.20744,2.15169,995.611,176.02,-19.7662,9.24557,29371.2,348.834,1,1,2,2,3,0
2,32,44.0664,490.86,2.07746,2.1401,1039.2,191.866,-11.2725,5.04703,29866.9,361.195,1,1,2,2,3,0
2,33,44.7015,490.473,2.15135,2.29646,935.854,189.958,-29.116,22.2603,31012.2,378.692,1,1,2,2,3,0
2,34,45.4801,490.192,2.28162,2.13287,856.621,218.591,-44.4682,27.1643,26517.1,392.799,1,1,2,2,3,0
2,35,45.2302,490.304,2.03364,1.95616,930.232,283.142,-46.325,33.1506,24256,426.71,1,2,3,4,5,0
2,36,43.0053,492.125,3.12952,3.68541,931.795,126.004,-15.3575,12.8568,57329.5,470.71,1,1,1,1,1,0
2,37,42.9896,492.206,2.98446,3.88983,902.13,126.506,-10.195,10.5424,56819.9,480.533,1,1,1,1,1,0
2,38,43.2186,492.119,2.84213,3.56821,986.261,176.612,-13.9255,13.5978,54315.9,502.568,1,1,2,2,3,0
2,39,42.6056,492.461,2.76243,2.77662,1688.53,62.293,-0.448399,-18.3128,77513.8,551.923,1,1,2,2,3,0
2,40,42.9366,491.925,2.71109,2.85435,1186.25,130.237,-15.2589,1.22079,54012,462.609,1,1,2,3,4,0
2,41,44.1161,491.542,2.04537,1.92177,872.961,298.272,-45.8649,21.4977,21448.5,413.266,1,1,2,2,3,0
2,42,44.1242,491.265,1.94671,1.96503,813.178,268.583,-39.9973,21.2117,20418.5,380.657,1,1,2,2,3,0
2,43,44.3925,490.671,2.35005,2.35615,753.889,170.671,-38.6428,32.1525,27275.8,345.053,1,1,2,2,3,0
2,44,43.8894,491.393,2.3485,2.45164,800.835,164.379,-38.6369,39.6147,34094.6,379.882,,,,,,0
3,1,61.7646,187.108,1.9479,1.97379,611.511,357.725,-3.08984,-8.05583,14750.9,429.633,1,2,3,3,4,0
3,2,62.6672,188.541,2.00821,2.00462,660.512,306.225,5.6175,-7.56413,16694.5,401.592,1,2,2,3,4,0
